Name,Year,Average
TSLA,2022,132933380.54545455
TSLA,2021,132601168.78846154
TSLA,2020,142705568
TSLA,2019,44065117.615384616
TSLA,2018,41346899.115384616
TSLA,2017,30263102.615384616
TSLA,2016,22350159.557692308
TSLA,2015,20657085.79245283
TSLA,2014,33514914.28846154
TSLA,2013,40588671.15384615
TSLA,2012,5901040.384615385
TSLA,2011,6254521.153846154
TSLA,2010,6002196.153846154
